,System,AS,ngpu,Type,Analytic,otpd ao2mo,on-top pair density,on-top energy,setup gpu for pdft,E_ot,df vj and vk
0,Kr model,2_2,4,cpu,wall,0.95,0.99,0.12,0.0,7.31,1.23
1,Kr model,6_6,4,cpu,wall,0.93,1.4,0.22,0.0,5.19,1.26
2,Kr model,10_10,4,cpu,wall,0.93,2.33,0.2,0.0,6.18,1.28
3,Kr model,14_14,4,cpu,wall,0.93,3.99,0.23,0.0,7.99,1.26
4,Kr model,18_18,4,cpu,wall,0.97,6.67,0.35,0.0,11.0,1.26
5,Kr model,22_22,4,cpu,wall,0.97,9.43,0.21,0.0,13.33,1.27
6,Kr model,26_26,4,cpu,wall,0.96,13.27,0.23,0.0,17.08,1.26
7,Kr model,30_30,4,cpu,wall,1.03,18.62,0.12,0.0,22.4,1.26
8,Kr model,34_34,4,cpu,wall,1.02,25.35,0.2,0.0,29.42,1.86
9,Kr model,38_38,4,cpu,wall,1.07,32.32,0.18,0.0,36.36,1.26
10,Kr model,2_2,4,gpu,wall,0.0,1.07,0.21,0.0,4.89,1.84
11,Kr model,6_6,4,gpu,wall,0.0,1.16,0.12,0.0,4.85,0.88
12,Kr model,10_10,4,gpu,wall,0.0,1.14,0.2,0.0,4.78,0.85
13,Kr model,14_14,4,gpu,wall,0.0,1.15,0.2,0.0,4.89,0.89
14,Kr model,18_18,4,gpu,wall,0.0,1.16,0.09,0.0,5.03,0.83
15,Kr model,22_22,4,gpu,wall,0.0,1.16,0.21,0.0,4.99,0.86
16,Kr model,26_26,4,gpu,wall,0.0,1.18,0.22,0.0,4.92,0.94
17,Kr model,30_30,4,gpu,wall,0.0,1.39,0.19,0.0,5.35,0.91
18,Kr model,34_34,4,gpu,wall,0.0,1.46,0.38,0.0,6.03,0.96
19,Kr model,38_38,4,gpu,wall,0.0,1.59,0.14,0.0,5.29,0.87
